,body,datetime,headline,lead,news_type
0,"Aunque las medidas de los Gobiernos recomiendan no viajar, está claro que muchos lo van a seguir haciendo, porque les es imprescindible o porque quieren hacerlo, pese a todo.El buscador de vuelos www.jetcost.es curiosamente ha encontrado que mucha gente no quiere renunciar a sus vacaciones de Semana Santa y este año están eligiendo destinos más exóticos y cálidos y viajes más largos, en lugar de las habituales. Tal vez el hecho de que el virus se expande, peor con temperaturas más altas está contribuyendo a ello.Recomendaciones: Evitar destinos conflictivosSi uno puede elegir destino, hay que evitar los más conflictivos, en Europa, según el número de casos confirmados, no de fallecidos, son Francia, Alemania, Suiza, Noruega, Países Bajos, Reino Unido y Suecia. Fuera de Europa, por supuesto, China, Irán, Corea del Sur, y Japón. Hay que comprobar la lista con frecuencia porque las cosas cambian constantemente.Toda la información actualizada sobre el coronavirus está aquí.2. Consultar los países con limitacionesHay que consultar también qué países ponen limitaciones, obligan a cuarentena, prohíben la entrada o exigen certificado sanitario. El más reciente ha sido EEUU, que ha prohibido todos los vuelos con Europa.Además, hay otros países a los que se puede volar pero aislarán de manera preventiva durante 14 días a las personas procedentes de España, estos son: Argentina, Colombia, Chile, Perú, China, La India, Rumanía, Rusia. Tailandia por su parte ha pedido a los viajeros que procedan de territorio español que mantengan una “cuarentena voluntaria” durante 14 días.También se aconseja consultar la lista que cambia día a día. Puede consultarse en la Asociación Internacional de Transporte Aéreo (IATA)3. Elegir asientosAl reservar los asientos de avión, ahora que viaja menos gente, hay que procurar elegir los que ofrezcan más espacios vacíos, pero que no estén cerca de los aseos o del espacio donde trabajan los auxiliares de vuelo. En principio, la mejor opción son los asientos de ventanilla, los del centro pueden que estén libres porque casi nadie los quiere y los de pasillo están más próximos al paso de otros pasajeros y de los auxiliares de vuelo o revisores. Si uno se lo puede permitir mejor elegir clase bussines o preferente donde siempre hay menos gente y más espacio entre asientos.4. Llegar al aeropuerto con tiempoHay que procurar llegar al aeropuerto con tiempo suficiente para poder facturar, si es necesario, antes de que haya largas colas. Si uno puede ir solo con equipaje de mano mejor.5. Evitar los lugares con aglomeracionesTambién dejar distancia con otros pasajeros en el control de seguridad y evitar los bares y restaurantes, mejor llevarse la comida de casa. Si uno tiene derecho a sala Vip comprobar que no esté muy llena y eligir, si uno puede, un lugar solitario.6. Mejor embarcar de los últimosA la hora de embarcar mejor llegar de los últimos (sin perder el avión) para evitar las colas y dejar espacio entre otros pasajeros en el embarque y en los pasillos del avión.7. MascarillaAunque el uso de mascarilla es discutible, ya que quien las deben de utilizar son los contagiados y no las personas sanas, puede tener dos aspectos beneficiosos, aislarse algo de posibles toses y estornudos y al llevarla puesta evitar que se nos acerque la gente.8. Al aterrizar Al aterrizar mejor no tratar de ser el primero en salir y amontonarse en el pasillo, hay que dejar que salga la gente y hacerlo cuando el pasillo esté despejado. Y en el aeropuerto de llegada, los mismos consejos que al salir: evitar los grupos de gente en la recogida de equipajes, en el control de entrada y en otras zonas del aeropuerto. Aunque sea más caro, mejor utilizar un taxi para llegar al hotel en lugar de transportes públicos.",2020-03-12T15:34:15+00:00,Consejos para viajar y evitar el coronavirus,Jetcost propone algunas medidas que pueden evitar los contagios a los viajeros.,Salud y Sociedad
1,"El empresario agrícola Juan Sutil fue electo esta mañana para dirigir a la Confederación de la Producción y el Comercio (CPC) entre el 2020 y el 2022, sucediendo al actual timonel, Alfonso Swett, quien dirigió el organismo los últimos 2 años.Así lo determinó el Consejo de la entidad por 62 votos para Sutil y solo 12 para Ricardo Mewes, expresidente de la Cámara Nacional de Comercio y más cercano al Apruebo..El consejo de la CPC, que está conformada por el presidente del organismo, los presidentes de Sociedad Nacional de Agricultura (SNA), Cámara Nacional de Comercio, Servicios y Turismo de Chile (CNC), Sociedad Nacional de Minería (Sonami), Sociedad de Fomento Fabril (Sofofa), Cámara Chilena de la Construcción (CchC) y Asociación de Bancos e Inversiones Financieras (Abif), los ex presidentes de la CPC y diez consejeros de cada rama, ya había definido hace días la elección y hoy solo se confirmó.Juan Sutil Servoin, quien se manifestó a favor del rechazo para el plebiscito de abril, hizo noticia en noviembre pasado cuando anunció el retiro de la pauta publicitaria a un programa agrícola de CNN, por la línea editorial del grupo Turner en el estallido.“Yo voy a votar ‘Rechazo’ por una razón muy simple, porque pienso que tiene que haber un equilibrio en las posiciones para poderte sentar en la mesa a conversar en cómo construir el futuro” señaló en campaña.Se diferenció de Mewes, durante la campaña, porque este último no quiso definirse respecto al plebiscito, aunque su posición personal era más cercana al apruebo.Tras ganar hoy, Sutil sostuvo que la votación del 26 de abril “es el desafío más importante que enfrentamos hoy los chilenos. Requiere un ambiente de orden y paz que garantice un proceso equilibrado, donde todos podamos participar de manera segura y argumentada. El futuro de nuestro país está por escribirse. Participar en el plebiscito es una obligación ineludible. Todos debemos contribuir a definir los contenidos de la Constitución, cualquiera sea el camino elegido, para hacer de Chile una mejor nación”.",2020-03-12T15:07:13+00:00,Empresario por el rechazo a una Nueva Constitución gana elección en la CPC,Juan Sutil le ganó a Ricardo Mewes por 62 y a 12 y será el máximo líder empresarial de Chile.,Portada
2,"Después de seis años de su estreno, vuelve a las salas Un tranvía llamado Deseo, obra cumbre del realismo norteamericano, y que toca por primera vez en escena la temática de la sexualidad y el deseo de manera frontal y explícita.La obra cuenta la historia de Blanche Dubois (Amparo Noguera), que llega a vivir a casa de su hermana Stella (Paloma Moreno) a bordo de un tranvía de nombre “Deseo”. Su nuevo hogar es muy humilde y eso contrasta con su arrogancia y origen aristocrático. Ella lo ha perdido todo y deberá ocultar un pasado que la ha conducido al desequilibrio. Comienza así un romance con Mitch (Marcial Tagle), al que manipulará para escapar de la soledad y mantener sus fantasías de grandeza.Stella está casada con Stan (Marcelo Alonso), un rudo, violento y sexual hombre de trabajo. Las evidentes diferencias que mantiene Blanche con su cuñado, generan una fuerte tensión entre ellos que transita entre la seducción, el maltrato, la máxima brutalidad y la locura.Desde su estreno en 1947, el personaje de Blanche Dubois ha sido un desafío y un anhelo para actrices y directores. El violento realismo con que trata esta obra el fin de una clase social (la aristocracia), el devenir de esta mujer madura, aterrada del paso del tiempo, ajada en su belleza, arruinada, promiscua y alcohólica, requiere de una poética escénica que dé cuenta de este trágico destino.“A mí no me importa tanto la realidad, sino la magia. Para una mitómana como Blanche, la realidad solo puede ser una ofensa, frente a la cual no queda otra opción que levantar un magnífico imaginario, donde el deseo pueda ser cumplido. Esta propuesta está construida con una Blanche como fue concebida por la época y Hollywood, y que permanece en nosotros como un arquetipo, para instalarse finalmente en el espacio trágico de la locura que trasciende estilos y épocas”, sostiene Alfredo Castro sobre el montaje que llega al Teatro Nacional como parte del Ciclo 10 años GAM.Castro deposita en Amparo Noguera las exigencias del personaje central: “Está aferrada a lo que alguna vez fue su vida, incapaz de armar mundos reales en su cabeza, vive en un pasado que la hace crear una cierta locura, en ese imaginario cuando aún tú puedes inventar una vida, pero su edad no la acompaña”, explica Amparo.Esta adaptación permite destacar los temas que Williams abordó con tanta maestría: el deseo, la enfermiza resistencia al natural paso del tiempo, la sexualidad como mecanismo de control, el machismo exacerbado, las diferencias sociales, el suicidio, la prostitución, la incapacidad de enfrentar la realidad y el trágico descenso hacia la locura de un ser frágil y vulnerable.Un tranvía llamado Deseo forma parte del ciclo GAM 10 años, festival que presentará en marzo 19 emblemáticas obras estrenadas entre 2011 y 2020 para comenzar a festejar los 10 años de vida. En GAM estarán Happy End, En fuga no hay despedida, Xuárez, La viuda de Apablaza, Tragicomedia del Ande, Ursaris, Melodías en el aire, VaLlena 52, Estación Perro Bufo y Weichafe.Además, se presentará Amores de cantina en el Teatro UC, Lucila, luces de Gabriela en Mori Bellavista, El diccionario en Mori Parque Arauco, Radiotanda y Mistral Gabriela (1945) en el Teatro Finis Terrae, Paisajes para no colorear en Matucana 100, Excesos en el Teatro La Memoria y Proyecto Aguirre, de lejos parecían esclavos en el Teatro del Puente.Dramaturgia: Tennessee Williams | Puesta en escena: Alfredo Castro | Elenco: Amparo Noguera, Marcelo Alonso, Paloma Moreno y Marcial Tagle | Versión y adaptación: Alfredo Castro, Roberto Contador y Simón Rivera | Música original: Miguel Miranda | Escenografía original: Cristián Reyes | Vestuario: Loreto Monsalve | Producción: Paola Díaz | Readaptación escenográfica, utilería y vestuario: Tatiana Pimentel | Producción: GAM.11 al 28 Mar. Ma a Sá – 19.30 hTeatro Nacional (Morandé 25, Santiago)$6.000 Gral., $4.000 Est. y 3ed.+18 años.",2020-03-12T14:13:38+00:00,"Sexo, machismo y locura regresan al GAM en un clásico teatral","Vuelve Un tranvía llamado Deseo, obra del norteamericano Tennessee Williams, protagonizada por Amparo Noguera, Marcelo Alonso, Pamela Moreno y Marcial Tagle.",Cultura
3,"LATAM Airlines Group y sus filiales anuncian una reducción de aproximadamente un 30% de sus vuelos internacionales ante la menor demanda y las restricciones de viaje impuestas por gobiernos tras el avance del coronavirus, declarado pandemia por la Organización Mundial de la Salud (OMS).Por ahora, esta medida aplicará principalmente para vuelos desde Sudamérica a Europa y EEUU entre el 1 de abril y el 30 de mayo de 2020.“Frente a un escenario complejo, y extraordinariamente dinámico, LATAM está tomando medidas inmediatas y responsables para resguardar la sostenibilidad de la compañía en el largo plazo, protegiendo los planes de viaje de pasajeros y procurando cuidar el empleo de los 43 mil trabajadores del Grupo. Al mismo tiempo, mantendremos la flexibilidad para tomar medidas adicionales, si fuera necesario, debido a la velocidad con la que se están desarrollando los hechos”, señaló Roberto Alvo, actual Vicepresidente Comercial y próximo CEO de LATAM Airlines Group. Asimismo, el ejecutivo agregó que, producto del actual contexto, la compañía decidió suspender el guidance para el año 2020.LATAM dice que seguirá “manteniendo sus estrictos protocolos de seguridad e higiene para proteger a sus pasajeros, tripulantes y personal en tierra”. Al mismo tiempo, ha implementado procedimientos de aseo especial para sus aviones, los cuales cuentan con un sistema de recirculación que renueva el aire del avión cada 3 minutos, con sistemas de filtros de última generación.Dentro de las decisiones tomadas, se incluyen la suspensión de nuevas inversiones, gastos y de contrataciones, incentivos para permisos no remunerados y anticipación de vacaciones.A la fecha, el Grupo LATAM no ha visto afectada la demanda en sus mercados domésticos, por lo que ha definido no implementar cambios en sus itinerarios de vuelos nacionales, por ahora. “Seguiremos monitoreando el avance del Coronavirus, manteniendo las medidas sanitarias recomendadas por las autoridades y otorgando a los pasajeros flexibilidad y las mejores condiciones de conectividad para llegar a sus destinos”, dijo Roberto Alvo.",2020-03-12T13:44:41+00:00,LATAM reduce sus vuelos internacionales en aproximadamente 30% ante menor demanda y restricciones de viaje,La medida se aplicará principalmente para vuelos desde Sudamérica a Europa y EEUU entre el 1 de abril y 30 de mayo.,Economía
4,"A partir de mañana y por espacio de 30 días no podrán aterrizar en Estados Unidos los aviones que provengan de Europa.Así lo anunció esta noche el presidente Donald Trump, a raíz de la pandemia del nuevo coronavirus, anunciada hoy por la OMS.Noticia en desarrollo",2020-03-12T01:28:37+00:00,Trump anunció la suspensión de todos los vuelos de Europa a EEUU,"La medida, a raíz de la pandemia del nuevo coronavirus, se extenderá por 30 días.",Internacional
5,"El precandidato demócrata a la presidencia de EEUU, Bernie Sanders aseguró hoy que no dejara la carrera por la nominación de su partido, a pesar de que haber sufrido una serie de derrotas el martes frente a Joe Biden, que lidera el proceso.“Donald Trump debe ser derrotado, y haré todo lo posible para lograrlo”, expresó Sanders en referencia al actual presidente y candidato a la reelección por el Partido Republicano, en una conferencia de prensa desde su comando de campaña en Burlington, Vermont.Sanders desestimó las dudas sobre su permanencia en la contienda de las primarias demócratas, indicando que participará en el próximo debate. “El domingo espero con ansias el debate en Arizona con mi amigo Joe Biden”, dijo el senador.La campaña de Biden, un candidato moderado de 77 años que fue vicepresidente de Barack Obama, avanza con viento en popa después de que el martes ampliara su ventaja en la interna partidaria con victorias en las primarias en Michigan, Misuri, Misisipi y Idaho.Tras ganar 10 de los 14 estados del supermartes la semana pasada y arrasar antes también en Carolina del Sur, Biden se alzó con cuatro de los estados en liza este martes acercándose al objetivo de lograr los 1.991 delegados necesarios para ser el abanderado de los demócratas.Sanders, de 78 años, que había tenido un buen desempeño en las primeras tres votaciones demócratas y se quedó con California, la joya de la corona del supermartes, por ahora venció solo en un estado el martes: Dakota del Norte.El senador lideraba el conteo en el estado de Washington, aunque cabeza a cabeza con Biden con casi 70% de los votos reportados.",2020-03-12T00:05:06+00:00,Sanders asegura que no bajará su postulación en las primarias demócratas,El precandidato a presidente de EEUU dijo que hará todo lo posible para derrotar a Joe Biden en el próximo debate.,Internacional
6,"En este lúcido ensayo, Alma Guillermoprieto se descubre interrogándose a sí misma sobre su feminismo.Su duda es a la vez un recorrido por su pensamiento, sus recuerdos y una serie de vivencias que van resignificándose a la luz del actual resurgimiento de la revolución de las mujeres: el #MeToo, las nuevas masculinidades, la ética.Con su conocimiento excepcional de la realidad de América Latina, la autora hace una profunda reflexión sobre lo que significa ser feminista en un continente violento y patriarcal en el que las mujeres que han perdido la tierra, sus hijos y sus esposos deben defender su vida y la de otras mujeres como ellas. Su aproximación al feminismo es como su periodismo: libre de doctrina, repleta de preguntas y provista de las pistas necesarias para encontrar respuestas.Más sobre la autoraAlma Guillermoprieto nació en México, pero en su adolescencia se mudó a Nueva York, donde estudió danza moderna.En 1970 fue contratada para impartir clases de danza en la Escuela Nacional de Arte en Cuba. Sus recuerdos de esa época componen La Habana en un espejo (Literatura Mondadori, 2005).Inició su carrera periodística en 1978 como reportera en América Central para el diario The Guardian, y después para The Washington Post, del que fue redactora de planta en los años ochenta. También fue jefa de la corresponsalía para América del Sur del semanario Newsweek. Desde 1989 escribe sobre América Latina para The New Yorker y The New York Review of Books. Ha recibido, entre otras, las siguientes distinciones: Premio a los Medios de la Latin American Studies Association (1992), MacArthur Foundation Fellowship (1995), miembro de la American Academy of Arts and Sciences (2001), Doctorado Honoris Causa por la Baruch University (2008), Cátedra Julio Cortázar de la Universidad de Guadalajara (2008) y el Overseas Press Club Award (2009).Es miembro del consejo ejecutivo de la Fundación Nuevo Periodismo Iberoamericano. Es autora, entre otros libros, de Samba (1990), Al pie de un volcán te escribo (1995), Los años en que no fuimos felices (1998) y Las guerras en Colombia (2000).Ficha TécnicaTítulo: ¿Será que soy feminista?Autora: Alma GuillermoprietoSello: Literatura Random HouseNro. Págs.: 127P.V.P: $10.000",2020-03-11T23:41:52+00:00,Alma Guillermoprieto: ¿Será que soy feminista?,"A sus setenta años, la prestigiosa periodista se descubre a si misma preguntándose si es feminista. El camino hasta encontrar la respuesta es un espejo al que deberían asomarse todos los lectores.",Cultura
7,"En una audiencia pública y transmitida por televisión, la Corte Suprema elaboró hoy la quina para el cargo de ministro en la vacante producida por el cese en el cargo de Hugo Dolmestch Urra.Luego de escuchar las presentaciones de los postulantes –incluida una exposición por video conferencia desde Israel- referidas a asuntos relacionados con la judicatura, el Pleno de ministros procedió a la votación y la elaboración de la cinquena.La vocera del máximo tribunal, Gloria Ana Chevesich, informó el resultado de la votación, la que quedó compuesta por (en orden de votos):Sergio Mora Vallejos. Ministro de la Corte de Apelaciones de Coyhaique. Incluido por derecho propio.Raúl Eduardo Mera Muñoz Ministro de la Corte de Apelaciones de Valparaíso (8 votos).Mario Rolando Carroza Espinoza. Ministro de la Corte de Apelaciones de Santiago (7 votos).Jessica de Lourdes González Troncoso. Ministro de la Corte de Apelaciones de Santiago (7 votos).María Soledad Melo. Ministra Corte de Apelaciones de Santiago (6 votos).La cinquena será enviada al Ministerio de Justicia para continuar con el proceso de nominación.",2020-03-11T23:14:33+00:00,Vacante de Dolmestch en la Suprema podría ser para el juez Mario Carroza,El magistrado que se ha destacado en la investigación de casos de DDHH integra la quina que hizo hoy el pleno del máximo tribunal.,Nacional
8,"Por Patricio Herman, presidente Fundación Defendamos la CiudadTodos sabemos que la élite denomina “error”, con el fin de bajarle el perfil, a la detección de malas prácticas en sus iniciativas comerciales, sobre lo cual hace unos días habíamos dado cuenta de un error garrafal del Secretario Regional Ministerial (Seremi) de Vivienda y Urbanismo de la Región Metropolitana de Santiago entre los años 2014 y 2018, Aldo Ramaciotti, funcionario público que permitió (sic) la venta para fines habitacionales de predios ubicados en una zona de protección ecológica definida en el Plan Regulador Metropolitano de Santiago (PRMS), instrumento normativo de planificación territorial que es responsabilidad de esa propia función administrativa intercomunal.Patricio HermanEn efecto, dicho Seremi anteriormente había cometido otro error que podría permitir una nueva vulneración del PRMS. Se trata del oficio Ord. Nº 5.789 de 7 de diciembre de 2016, oficio que se adjunta, con el cual se desafectó del riesgo de inundación recurrente un sector colindante con Camino El Noviciado en el área rural de la comuna de Pudahuel. Gracias a ese oportuno “error”, la empresa Hipermercados Tottus S.A. de Falabella pretende construir allí un centro de distribución con 98.000 m2 construidos sobre un terreno de 34 hectáreas.La Contraloría General de la República ha señalado hasta el cansancio que el artículo 2.1.17 de la Ordenanza General de Urbanismo y Construcciones (OGUC), utilizado por el ex seremi Ramaciotti, no permite desafectar áreas de riesgo sino que solo posibilita, previa implementación de obras de ingeniería o de otra índole suficientes para subsanar o mitigar los riegos, la construcción de las edificaciones correspondientes a las actividades permitidas expresamente por el respectivo instrumento de planificación territorial. En este caso, según el artículo 8.2.1.4 del Plan Regulador Metropolitano de Santiago (PRMS) solamente es posible construir equipamiento de áreas verdes, algo muy distinto a un centro de distribución.Para posibilitar la construcción del proyecto en comento, dicho Seremi previamente debería modificar (reducir) esa área de riesgo de inundación recurrente y permitir actividades de impacto similar al industrial en ese sector, ello a través de una modificación del PRMS sancionada por todas las instancias que corresponde, pero esa tramitación toma mucho trabajo técnico y tiempo.Así fue en 2013 cuando el Seremi de entonces, Juan Andrés Muñoz, intentó aprobar un cambio del PRMS que pretendía permitir Desarrollos Industriales y Empresariales Condicionados (DIEC) en áreas rurales de Interés Silvoagropecuario Mixto de la Region Metropolitana de Santiago, pero esa modificación ni siquiera pasó la etapa de Evaluación Ambiental Estratégica (EAE) porque el deficiente informe presentado por esa función pública no contenía los antecedentes técnicos suficientes que justificaran ambientalmente el uso de terrenos rurales para actividades industriales. El lector interesado puede revisar el expediente de esa EAELa empresa Hipermercados Tottus presentó hace unas semanas el Estudio de Impacto Ambiental de su centro de distribución en Pudahuel y esperamos, conforme a derecho, que en esa instancia sectorial el actual seremi de Vivienda y Urbanismo, Manuel José Errázuriz, rectifique el sensible error cometido por su antecesor, Aldo Ramaciotti, informando al Servicio de Evaluación Ambiental (SEA) que ese proyecto no cumple con el PRMS y, por lo tanto, no debe continuar su tramitación ambiental.La fuerte protesta social en contra de los abusos y en contra de la corrupción es indicativa de que las cosas en el aparato público deben cambiar y por ello estaremos atentos a este caso y a otros que también hemos denunciado.Los lectores interesados en la materia reseñada pueden revisarla aquí.",2020-03-11T22:52:47+00:00,Patricio Herman: Muchos “errores” se cometen para posibilitar proyectos privados,"La Contraloría ha señalado hasta el cansancio que el artículo 2.1.17 de la Ordenanza General de Urbanismo y Construcciones (OGUC) no permite desafectar áreas de riesgo sino que solo posibilita, previo estudios, la construcción de las edificaciones correspondientes a las actividades permitidas expresamente por el respectivo instrumento de planificación territorial.",Opinion
9,"“Cuando un presidente tiene 10% de aprobación, su problema no (es) la oposición obstruccionista. Su problema es que la gran mayoría de los que votaron por él, ya no lo quieren. Por eso, Piñera debería renunciar. Muy costoso que siga en el poder por 2 años más. #11Marzo”, señaló hoy en la red social el cientista político y ex simpatizante del mandatario en su candidatura de 2010.Navia, luego, señaló instó al director de Cadem, Roberto Izikson, a preguntar en la próxima encuesta si la dimisión del mandatario “fortalecería la democracia o la debilitaría” y si el consultado “creía que el Presidente Piñera debiera renunciar”.“Piñera y Apruebo se parecen en que ambos generan incertidumbre. La combinación de Piñera (y su incapacidad para poder imponer el orden público) y el proceso constituyente está hundiendo a la economía. El costo de 2 años de esta combinación va a ser demasiado alto” agregó en otro tuit.“¡Irresponsable! ¿Que aportas con este tipo de juicios? Terminas siendo parte del problema, más que de la solución. En estos tiempos de convulsión, se esperaría de quienes tienen alguna voz, algo de responsabilidad y patriotismo” le respondió Pablo Matamoros, ex asesor digital del primer gobierno de PIñera. Y Navia, insistió, “el patriotismo es salvar a la patria, no a Piñera. Prefiero que renuncie el presidente a que se termine de hundir el país”.Según el cientista político y académico, que cree que debe ser el Congreso el que nombre al sucesor como dicta la Constitución, “ninguna de las opciones son buenas: ni la renuncia de Piñera ni tener a un presidente deslegitimado, impopular y sin fuerza por dos años más. Pero si Piñera renuncia ahora, el país hace la pérdida y hay chance de evitar que nos sigamos hundiendo en la violencia y el desorden”.",2020-03-11T22:04:24+00:00,Patricio Navia se suma a los que recomiendan la renuncia del presidente Piñera,"El cientista político señaló en su cuenta de twitter que el mandatario ""debería renunciar"".",Nacional
