,company,subject,date,description
0,Wish,Robo/ fraude,2019-10-18,Compre en wish los primeros días de octubre de este año algunos productos que aún no llegan. Cuya transaccion fue con tarjeta de crédito MasterCard .El día 12 de octubre se generó otra compra por 100 dólares que yo no realiceEllos guardan los datos de la tarjeta y también tu clave secreta.Para después volver a comprar sin tu consentimiento He enviado más de 7 correos electrónicos y no he tenido respuesta algunaEsto es grave ya que se supone que los datos uno los ingresa a sitios segurosNo puedo adjuntar por el momento ninguna documentación ya que bloquee mi tarjeta 
1,Siprt life,Cobro estácionamiento,2019-10-18,"Buenas tardes ,me llama la atención un gymasio con tantas sedes en chile no es capaz de entregarle estácionamiento gratis a sus clientes falta solo la voluntad ,hay otros gym en otro mail lo hacen porque SPORT life no Gracias "
2,Correos de chile,No llega aún mi encomienda con n° de envío : cnatv206704588593,2019-10-18,"Sres Correos de Chile:Con este N° de Envío ingreso a Chile : CNATV206704588593, según DHL el día 24 de septiembre : procede al centro de distribución local ...y el 9 de Octubre según seguimiento parte de dicho centro ¿ Cuando llegará a Rancagua??.Por favor necesito respuesta, porque estoy pendiente!!!Un amable saludoVictoria Mella "
3,Turbus,Mentiras,2019-10-18,"Esta empresa por la.cual recordaba no viajar hace mucho tiempo, lamentablemente teniendo como última opción a Turbus tenía que viajar de Stgo a Vallenar la vendedora me dijo que el bus era directo y que solo paraba en La Serena,cosa.que es falso, el bus tomó la ruta que pasa por Los Vilos y obviamente se demora más de lo habitual,aparte que el bus para en reiteradas ocasiones,,haciendo perder el tiempo, una razón más para no viajar en esa empresa deficiente!!!!! "
4,Banco scotiabank,No pago de seguro cesantia,2019-10-18,"El 30 de Agosto quede cesante por lo cual me acerque a servicio cliente de sucursal concepción el día 12 de septiembre una vez firmado mi finiquito. En sucursal entregue Certificado de cotizaciones, Finiquito legalizado y CI, todos los documentos solicitados.La cuota que vencía el 30 de agosto la cancele yo y la cuota correspondiente que se debe pagar el 30 de septiembre hasta la fecha no se ha cancelado, ya que Banco Scotiabank indica que debo presentar las cotizaciónes con fecha 25 de octubre. siendo que la cuota que se debe cancelar vence el 30 de septiembre. Encuentro absurdo que la cuota vencida tenga que pagarse con un mes de retraso. Quien se hace cargo de los intereses por mora.Tengo seguros también en banco estado y banco santander. En ninguno de ellos procedieron como banco Scotiabank. A los 10 días de realizado el tramite ya tenia el Pago de las cuota correspondiente a septiembre.Banco scotiabank no respeta póliza. pésimo servicio. "
5,Correos de chile,Aceptado por operador logistico hace mas de 15 dias,2019-10-18,"Compré en AliExpress y el pedido se encuentra Aceptado por operador logístico hace mas de 15 dias, como es posible que esté tanto tiempo en ese estado y al consultar con el número de seguimiento indican que el número de pedido no registra en su sistema.Número de seguimiento12883200007000214569651001 "
6,Estado chileno ,Manifestación ciudadana ,2019-10-18,"Gobierno de turno, critica a estado venezolano por medidas : de seguridad constitucional , ley de xxxxx.Acá la ciudadanía se manifiesta de igual forma contra la injusticia alza metro  y hacen lo mismo.Ósea todos los ciudadanos trabajadores que protestan por sus derechos mínimos ,son terroristas ,traicioneros a la patria y mil cosas mas.Chile país injusto e infeliz.El ciudadano común trabajador desde que nace lucha contras las injusticias ,es cosa de ver la historia del mundo. "
7,Municipalidad de la florida,Reclamo,2019-10-18,Mis vecinos nos irradian con armamento radiactivos y nos causan dolor en los huesos.....nos causa mucho dolor que no da ánimo de movilizarse ...mucho calor.....mareos... 
8,Wish,Venta sin autorizacion y no entrega de productos,2019-10-18,"Buienas tardes.WISH ejecutó una venta con mi tarjeta de crédito el 14 de septiembre de 2019 y aún no recibo nada. Es una  *****a !!!! Adjunto el número de orden y el monto que se pagaron de mi tarjetaOrder History/Order DetailsOrder on Sep 15, 2019Order #: 5d7ecf0f0b8f600fc2326716Item SummaryItem Total$25.90Shipping$53.00Order Total$78.90Items in your order "
9,Claro chile,No llega celular comprado en cyber day,2019-10-18,"El día 9 de octubre realize una compra a través de la página de Claro como invitado, he llamado en reiteradas oportunidades al 103 y al 105 y sólo me dicen que el producto está en preparación.Según el ejecutivo que me atendió hoy debió llegar el miércoles 16, quedó en devolverme el llamado antes de las 1730 hrs. Aún sigo esperando respuesta.No hay ningún número donde el usuario se pueda comunicar para saber el estado del envío, tampoco a traves de la página, nadie entrega información clara.Además la ejecutiva que me envió correo por el primer reclamo que hice en esta página, jamás respondió, le envié 2 correos y tampoco tuve respuesta.Cero empatia con el cliente, sin respeto por el tiempo de sus clientes, no podemos quedarnos todos los días en la casa a esperar la compra. "
